GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FitPulse,com.fitpulse.exception,FitPulseException,0,4,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.exception,ProgressServiceException,0,4,0,0,0,2,0,1,0,1
FitPulse,com.fitpulse.model.entity,User,14,27,0,0,6,11,4,8,4,8
FitPulse,com.fitpulse.model.entity,WorkoutBooking,24,3,0,0,10,1,7,1,7,1
FitPulse,com.fitpulse.model.entity,GymClass,55,0,0,0,23,0,16,0,16,0
FitPulse,com.fitpulse.model.entity,Membership,0,41,0,0,0,17,0,12,0,12
FitPulse,com.fitpulse.service.impl,UserServiceImpl,117,168,12,12,19,39,14,9,5,6
FitPulse,com.fitpulse.service.impl,SchedulingServiceImpl,0,70,0,2,0,23,0,6,0,5
FitPulse,com.fitpulse.service.impl,GymClassServiceImpl,164,0,2,0,45,0,11,0,10,0
FitPulse,com.fitpulse.service.impl,MembershipServiceImpl,78,139,3,1,18,45,7,9,5,9
FitPulse,com.fitpulse.service.impl,UserDetailsServiceImpl,36,0,0,0,10,0,3,0,3,0
FitPulse,com.fitpulse.service.impl,ProgressServiceImpl,107,108,7,3,28,25,8,11,4,10
FitPulse,com.fitpulse.service.impl,WorkoutBookingServiceImpl,172,0,10,0,41,0,12,0,7,0
FitPulse,com.fitpulse.model.enums,UserRole,0,15,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.model.enums,ClassIntensity,21,0,0,0,1,0,1,0,1,0
FitPulse,com.fitpulse.model.enums,MembershipType,0,21,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.config,SecurityConfig,0,106,0,0,0,11,0,6,0,6
FitPulse,com.fitpulse.model.dto.progress,ProgressResponse,0,27,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.model.dto.progress,ProgressFormRequest,0,31,0,0,0,13,0,9,0,9
FitPulse,com.fitpulse.model.dto.progress,ProgressCreateRequest,0,18,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.model.dto.progress,ProgressUpdateRequest,15,0,0,0,1,0,1,0,1,0
FitPulse,com.fitpulse.scheduling,FitPulseScheduler,36,0,0,0,14,0,4,0,4,0
FitPulse,com.fitpulse.model.dto,ProfileUpdateRequest,0,17,0,0,0,7,0,5,0,5
FitPulse,com.fitpulse.model.dto,RoleChangeRequest,0,10,0,0,0,4,0,3,0,3
FitPulse,com.fitpulse.model.dto,RegisterRequest,31,0,0,0,13,0,9,0,9,0
FitPulse,com.fitpulse.model.dto,GymClassRequest,52,0,0,0,22,0,15,0,15,0
FitPulse,com.fitpulse.model.dto,MembershipRequest,0,38,0,0,0,16,0,11,0,11
FitPulse,com.fitpulse.model.dto,MembershipView,0,21,0,0,0,1,0,1,0,1
FitPulse,com.fitpulse.controller,GlobalExceptionHandler,0,25,0,0,0,7,0,4,0,4
FitPulse,com.fitpulse.controller,AuthController,37,0,2,0,12,0,5,0,4,0
FitPulse,com.fitpulse.controller,ProfileController,27,27,1,1,6,9,2,3,1,3
FitPulse,com.fitpulse.controller,WorkoutBookingController,21,0,0,0,7,0,3,0,3,0
FitPulse,com.fitpulse.controller,HomeController,44,0,0,0,11,0,3,0,3,0
FitPulse,com.fitpulse.controller,AdminUserController,21,38,1,1,6,11,1,3,0,3
FitPulse,com.fitpulse.controller,MembershipController,96,0,4,0,28,0,11,0,9,0
FitPulse,com.fitpulse.controller,ProgressController,119,27,4,0,33,9,6,3,4,3
FitPulse,com.fitpulse.controller,GymClassController,151,0,4,0,39,0,12,0,10,0
FitPulse,com.fitpulse,FitPulseApplication,5,3,0,0,2,1,1,1,1,1
